seq,internal_id,year,authors,title,doi,origin,source_db,ic,qa_total,qa_include
188,2e76e921,2017,Erdem S.,An exploratory study on usage of process mining in agile software development,10.1007/978-3-319-67383-7_14,WS,scopus,IC1,3.0,False
189,0d31db29,2017,M. Valle A.,Applying process mining techniques in software process appraisals,10.1016/j.infsof.2017.01.004,WS,scopus,IC1,5.0,True
190,fbc469cf,2017,Hassan F.,Change-Aware Build Prediction Model for Stall Avoidance in Continuous Integration,10.1109/ESEM.2017.23,Aux1,ieee,IC3|IC4,5.0,True
191,4fd2327e,2017,,"Comparing pre-commit reviews and post-commit reviews using process
simulation",10.1002/smr.1865,Aux1,wos,IC2,7.0,True
192,1145c10d,2017,Ni A.,Cost-Effective Build Outcome Prediction Using Cascaded Classifiers,10.1109/MSR.2017.26,Aux1,ieee,IC3,5.0,True
193,20c17d18,2017,,"Evaluation of Project Architecture in Software Development Mixing
Waterfall and Agile by Using Process Simulation",10.1142/S2424862217500075,Aux1,wos,IC2|IC3,7.0,True
194,ec38f0ba,2017,Lübke D.,Extracting and Conserving Production Data as Test Cases in Executable Business Process Architectures,10.1016/j.procs.2017.11.130,WS,scopus,IC1|IC4,4.0,True
195,dcbf27d8,2017,"Gupta, Monika; Serebrenik, Alexander; Jalote, Pankaj",Improving Software Maintenance Using Process Mining and Predictive Analytics,10.1109/ICSME.2017.39,WS,ieee,IC1|IC3|IC4,5.0,True
196,bc54c3b6,2017,,Information Systems Security Risk,10.4018/978-1-5225-2703-9.ch005,Aux1,snowball,IC2|IC3,5.0,True
197,08d64489,2017,"Yu, Dongjin; Wang, Jiaojiao",Mining Collaboration Patterns of Software Development Processes Based on Trace Alignment,10.1145/3084100.3084103,WS,acm,IC1,4.0,True
198,d0e040e1,2017,,Mining Handover Process in Open Source Development: An Exploratory Study,10.1109/APSEC.2017.44,Aux1,ieee,IC1|IC4,6.0,True
199,0222b592,2017,Gadler D.,Mining Logs to Model the Use of a System,10.1109/ESEM.2017.47,Aux1,ieee,IC1|IC2,6.0,True
200,63e1f0bf,2017,Tillem G.,Mining encrypted software logs using alpha algorithm,10.5220/0006408602670274,WS,scopus,IC1,5.0,True
201,d4a1d75c,2017,Bala S.,Mining projects from structured and unstructured data,,WS,scopus,IC4,3.0,False
202,b5ea4fdd,2017,Savchuk T.,Modeling of software development process with the Markov processes,10.15587/1729-4061.2017.103340,WS,scopus,IC2,3.0,False
203,160fface,2017,,On the Differences between Unit and Integration Testing in the TravisTorrent Dataset,10.1109/MSR.2017.25,Aux1,ieee,IC1|IC4,6.0,True
204,4c73b15f,2017,Colucci L.,Predicting the unpredictable: Using monte carlo simulation to predict project completion date,10.1007/978-3-319-55907-0_11,WS,scopus,IC3,5.0,True
205,3ef399e6,2017,Keith B.,Process mining applications in software engineering,10.1007/978-3-319-48523-2_5,WS,scopus,IC1,4.0,True
206,ca6989c0,2017,"Janes, Andrea",Test Case Generation and Prioritization: A Process-Mining Approach,10.1109/ICSTW.2017.11,WS,ieee,IC1,3.0,False
207,14ff01e5,2017,,Transition Systems Reduction: Balancing Between Precision and Simplicity,10.1007/978-3-662-55862-1_6,Aux2,,IC1,6.0,True
208,b940a63a,2017,,"Understanding Student Interactions in Capstone Courses to Improve
Learning Experiences",10.1145/3017680.3017716,Aux1,wos,IC1,6.0,True
209,5f84fdc9,2018,,A model for estimating change propagation in software,10.1007/s11219-017-9358-6,Aux1,wos,IC2|IC3,7.0,True
210,9e341b7f,2018,Massitela I.,A structured stochastic model for software project estimation in Waterfall models,10.18293/SEKE2018-033,WS,scopus,IC2|IC3,3.0,False
211,223a62e3,2018,Arora R.,Analysis of software repositories using process mining,10.1007/978-981-10-5547-8_65,WS,scopus,IC1|IC4,4.0,True
212,4082a5b1,2018,Archanjo M.A.,Application of process mining in project management context: An exploratory case study in software development projects,,WS,scopus,IC1,5.0,True
213,04ab260e,2018,"Marques, Rita; Mira da Silva, Miguel; R. Ferreira, Diogo",Assessing Agile Software Development Processes with Process Mining: A Case Study,10.1109/CBI.2018.00021,WS,ieee,IC1,6.0,True
214,d0c47271,2018,Liu C.,Automatic Discovery of Behavioral Models From Software Execution Data,10.1109/TASE.2018.2844725,WS,scopus,IC1,8.0,True
215,43977ab5,2018,,Execution-Based Model Profiling,10.1007/978-3-319-74161-1_3,Aux2,,IC1|IC4,7.0,True
216,0a07a816,2018,Leemans M.,Hierarchical performance analysis for process mining,10.1145/3202710.3203151,WS,scopus,IC1,5.0,True
217,4cb686b6,2018,,Investigating the Significance of the Bellwether Effect to Improve Software Effort Prediction: Further Empirical Study,10.1109/TR.2018.2839718,Aux1,ieee,IC2|IC3,6.0,True
218,50d875ff,2018,"Mendes, Vitor; Faria Junior, Elio Ribeiro; Garcia, Cleiton; Malucelli, Andreia",Kanban and Process Mining in the Task Management,10.1145/3275245.3275286,WS,acm,IC1|IC3,4.0,True
219,7ecd535e,2018,Oberhauser R.,"Microflows: Leveraging Process Mining and an Automated Constraint
Recommender for Microflow Modeling",10.1007/978-3-319-78428-1_2,Aux1,wos,IC1|IC4,4.0,True
220,6f9a5a08,2018,Bala S.,Monitoring the Software Development Process with Process Mining,10.1007/978-3-319-94214-8_34,WS,scopus,IC1,3.0,False
221,4409efef,2018,Akbarinasaji S.,Predicting bug-fixing time: A replication study using an open source software project,10.1016/j.jss.2017.02.021,WS,scopus,IC3,7.0,True
222,e12fff7c,2018,,"Process Mining for Process Conformance Checking in an OSS Project: An
Empirical Research",10.1007/978-3-319-92375-8_7,Aux1,wos,IC1|IC4,5.0,True
223,4e01ae35,2018,Leemans M.,Software process analysis methodology-a methodology based on lessons learned in embracing legacy software,10.1109/ICSME.2018.00076,WS,scopus,IC1,4.0,True
224,5c4c0e7f,2018,,Studying Developer Build Issues and Debugger Usage via Timeline Analysis in Visual Studio IDE,,Aux1,ieee,IC1|IC4|IC3,6.0,True
225,608b005d,2018,,"Using simulation for understanding and reproducing distributed software
development processes in the cloud",10.1016/j.infsof.2018.07.004,Aux1,wos,IC2|IC3,6.0,True
226,94e88f90,2019,,A Point Process Approach of Bug Fixing Analysis in Open Source Software Projects,10.1109/qrs.2019.00024,Aux1,snowball,IC2|IC3,6.0,True
227,6cb59310,2019,"Agostinelli, Simone; Maggi, Fabrizio Maria; Marrella, Andrea; Milani, Fredrik",A User Evaluation of Process Discovery Algorithms in a Software Engineering Company,10.1109/EDOC.2019.00026,WS,ieee,IC1,6.0,True
228,588a19f5,2019,"Caldeira, João; Brito e Abreu, Fernando; Reis, José; Cardoso, Jorge",Assessing Software Development Teams' Efficiency using Process Mining,10.1109/ICPM.2019.00020,WS,ieee,IC1,7.0,True
229,f16294f2,2019,"Zhu, Rui; Dai, Yichao; Li, Tong; Ma, Zifei; Zheng, Ming; Tang, Yahui; Yuan, Jiayi; Huang, Yue",Automatic Real-Time Mining Software Process Activities From SVN Logs Using a Naive Bayes Classifier,10.1109/ACCESS.2019.2945608,WS,ieee,IC1|IC4,6.0,True
230,2d369fe9,2019,"Razi, Muhammad Ar; Sungkono, Kelly Rossa; Sarno, Riyanarto; Wahyuni, Cahyaningtyas Sekar",Detecting Bottleneck and Fraud in Agile Development by using Petri net Performance and Trace Clustering,10.1109/ISEMANTIC.2019.8884226,WS,ieee,IC1|IC2,5.0,True
231,c0352476,2019,Raitubu N.,Detection of Bottleneck and Social Network in Business Process of Agile Development,10.1109/ISEMANTIC.2019.8884341,WS,scopus,IC1,3.0,False
232,d5aff523,2019,,"Do as I Do, Not as I Say: Do Contribution Guidelines Match the GitHub Contribution Process?",10.1109/icsme.2019.00043,Aux1,snowball,IC1|IC4,6.0,True
233,e6f42f43,2019,"Ardimento, Pasquale; Bernardi, Mario Luca; Cimitile, Marta; Maggi, Fabrizio Maria",Evaluating Coding Behavior in Software Development Processes: A Process Mining Approach,10.1109/ICSSP.2019.00020,WS,ieee,IC1,6.0,True
234,5cfcbc53,2019,,Exploiting Event Log Event Attributes in RNN Based Prediction,10.1007/978-3-030-30278-8_40,Aux2,,IC1|IC3,6.0,True
235,be899615,2019,Jooken L.,Extracting a Collaboration Model from VCS Logs Based on Process Mining Techniques,10.1007/978-3-030-37453-2_18,WS,scopus,IC1,5.0,True
236,542c0019,2019,"Ardimento, Pasquale; Bernardi, Mario Luca; Cimitile, Marta; Ruvo, Giuseppe De",Learning analytics to improve coding abilities: a fuzzy-based process mining approach,10.1109/FUZZ-IEEE.2019.8859009,WS,ieee,IC1,6.0,True
237,6464a4f1,2019,,Method for Building UML Activity Diagrams from Event Logs,10.15514/ispras-2019-31(4)-9,Aux1,snowball,IC1|IC4,4.0,True
238,9662854d,2019,,Mining Software Repositories for Predictive Modelling of Defects in SDN Controller,,Aux1,ieee,IC2|IC4,7.0,True
239,8ea46c1d,2019,,Monitoring the Software Bug-Fixing Process Through the Process Mining Approach,10.1002/smr.2162,Aux2,,IC1,6.0,True
240,e627756c,2019,"Baskoro, Sangaji; Sunindyo, Wikan Danar",Predicting Issue Handling Process using Case Attributes and Categorical Variable Encoding Techniques,10.1109/ICoDSE48700.2019.9092617,WS,ieee,IC3|IC4,5.0,True
241,537bbfd0,2019,,Process-Driven Incremental Effort Estimation,10.1109/ICSSP.2019.00030,Aux1,ieee,IC2|IC3,7.0,True
242,fbd20bfb,2019,Pourmasoumi A.,The evolutionary composition of desirable execution traces from event logs,10.1016/j.future.2019.03.037,WS,scopus,IC1,6.0,True
243,c0a779ae,2019,"Shani, Asadul Haq Muhammad; Sarno, Riyanarto; Sungkono, Kelly Rossa; Wahyuni, Cahyaningtyas Sekar",Time Performance Evaluation of Agile Software Development,10.1109/ISEMANTIC.2019.8884304,WS,ieee,IC1|IC4,6.0,True
244,73df5473,2019,,"Using a Systematic Literature Review to Strengthen the Evidence
Supporting a Simulation Model of Distributed Software Projects",10.1109/SEAA.2019.00063,Aux1,wos,IC2,5.0,True
245,b788b176,2019,Krismayer T.,Using constraint mining to analyze software development processes,10.1109/ICSSP.2019.00021,WS,scopus,IC1|IC4,6.0,True
246,c077d9a4,2020,Chambers A.J.,"Automated Business Process Discovery from Unstructured Natural-Language
Documents",10.1007/978-3-030-66498-5_18,Aux1,wos,IC1|IC4,5.0,True
247,8de6dcfa,2020,Nafreen M.,Connecting software reliability growth models to software defect tracking,10.1109/ISSRE5003.2020.00022,WS,scopus,IC2|IC3,7.0,True
248,8a97d0cf,2020,Yue Li; He Zhang; Liming Dong; Bohan Liu; Jinyu Ma,Constructing a Hybrid Software Process Simulation Model in Practice: An Exemplar from Industry,10.1145/3379177.3388906,WS,acm,IC2|IC3,5.0,True
249,99736057,2020,,Control-Flow based Anomaly Detection in the Bug-Fixing Process of Open-Source Projects,10.1145/3385032.3385038,Aux1,snowball,IC1|IC4,7.0,True
250,15c9808b,2020,Shynkarenko V.,DEVELOPMENT OF A TOOLKIT FOR ANALYZING SOFTWARE DEBUGGING PROCESSES USING THE CONSTRUCTIVE APPROACH,10.15587/1729-4061.2020.215090,WS,scopus,IC1,6.0,True
251,5029f905,2020,"Yuan, Jiayi; Li, Tong; Zhu, Rui; Ma, Zifei; Peng, Jiayuan; Huang, Yue",Detecting Sudden Drift for Single-Instance Log in Software Development Process,10.1109/PHM-Besancon49106.2020.00069,WS,ieee,IC1|IC4,4.0,True
252,6e572cbb,2020,Dumbach P.,Exploration of Process Mining Opportunities In Educational Software Engineering - The GitLab Analyser,,WS,scopus,IC1|IC4,5.0,True
253,7cf00385,2020,Destro G.A.,Mining Software Repositories for the Characterization of Continuous Integration and Delivery,10.1145/3422392.3422503,WS,scopus,IC1|IC4,4.0,True
254,340c0c24,2020,,"Research on Software Project Schedule Management Method based on Monte
Carlo Simulation",,Aux1,wos,IC2|IC3,4.0,True
255,5d10f784,2020,,Truncated Trace Classifier. Removal of Incomplete Traces from Event Logs,10.1007/978-3-030-49418-6_10,Aux2,,IC1,6.0,True
256,b7022ac2,2020,"Lämmel, Ralf; Kerber, Alvin; Praza, Liane",Understanding What Software Engineers Are Working on: The Work-Item Prediction Challenge,10.1145/3387904.3389294,WS,acm,IC1|IC4,4.0,True
257,77fa80cd,2021,Tang M.,A cluster analysis method of software development activities based on event log,10.2174/2666255813666191204144931,WS,scopus,IC1,5.0,True
258,e89188a6,2021,Tyagi M.K.,Agile Planning and Tracking of Software Projects Using the State-Space Approach,10.1007/978-981-16-0404-1_26,WS,scopus,IC2|IC3,5.0,True
259,b123faf2,2021,Miranda P.,An analysis of Monte Carlo simulations for forecasting software projects,10.1145/3412841.3442030,WS,scopus,IC3,7.0,True
260,9e450f55,2021,Shynkarenko V.,Application of Constructive Modeling and Process Mining Approaches to the Study of Source Code Development in Software Engineering Courses,10.24138/JCOMSS-2021-0046,WS,scopus,IC1|IC2,3.0,False
261,f36a08fe,2021,Lunesu M.I.,Assessing the risk of software development in agile methodologies using simulation,10.1109/ACCESS.2021.3115941,WS,scopus,IC2|IC3,7.0,True
262,abfd6b2e,2021,Fauzi R.,Business process analysis of programmer job role in software development using process mining,10.1016/j.procs.2021.12.191,WS,scopus,IC1,7.0,True
263,38694b4e,2021,Ufuktepe E.,Code Change Sniffer: Predicting Future Code Changes with Markov Chain,10.1109/COMPSAC51774.2021.00137,Aux1,wos,IC2|IC3,6.0,True
264,f59b10d5,2021,Kawalerowicz M.,Continuous Build Outcome Prediction: A Small-N Experiment in Settings of a Real Software Project,10.1007/978-3-030-79463-7_35,WS,scopus,IC3,5.0,True
265,483d7725,2021,Ben Mesmia W.,DevOps workflow verification and duration prediction using non-Markovian stochastic Petri nets,10.1002/smr.2329,WS,scopus,IC2|IC3,5.0,True
266,db43c22c,2021,Nasyrov R.,Evaluating the Effectiveness of Software Development Processes Based on Probabilistic Causal Models,10.1109/SUMMA53307.2021.9632118,WS,scopus,IC2,4.0,True
267,9c4cc898,2021,Pourbafrani M.,Extracting Process Features from Event Logs to Learn Coarse-Grained Simulation Models,10.1007/978-3-030-79382-1_8,WS,scopus,IC1|IC2,4.0,True
268,2d2d29ea,2021,,Investigation and prediction of open source software evolution using automated parameter mining for agent-based simulation,10.1007/s10515-021-00280-3,Aux2,,IC3|IC4,7.0,True
269,16644fb0,2021,Nayebi M.,"Mining Treatment-Outcome Constructs from Sequential Software Engineering
Data",10.1109/TSE.2019.2892956,Aux1,wos,IC1|IC4,6.0,True
270,c894f613,2021,Nogueira A.F.,Monitoring a CI/CD Workflow Using Process Mining,10.1007/s42979-021-00830-2,WS,scopus,IC1,5.0,True
271,2f713568,2021,,Partially observable Markov Decision Process to prioritize software defects,10.32920/ryerson.14638470.v1,Aux1,snowball,IC2|IC4,6.0,True
272,61e62f9d,2021,,Process Mining bei hybriden Vorgehensmodellen zur Umsetzung von Unternehmenssoftware,10.1007/s00287-021-01359-7,Aux1,snowball,IC1,3.0,False
273,a86b1042,2021,,Profiling Software Developers with Process Mining and N-Gram Language Models,10.48550/arxiv.2101.06733,Aux1,snowball,IC1,7.0,True
274,f64a5949,2021,Liu C.,Quantitative evaluation of software component behavior discovery approach,10.1587/transinf.2020MPL0001,WS,scopus,IC1,6.0,True
275,e3d29a38,2021,Pourbafrani M.,SIMPT: Process Improvement Using Interactive Simulation of Time-Aware Process Trees,10.1007/978-3-030-75018-3_40,WS,scopus,IC1|IC3,3.0,False
276,7b0b22ea,2021,Jalote P.,Studying Task Processes for Improving Programmer Productivity,10.1109/TSE.2019.2904230,WS,scopus,IC1|IC2,7.0,True
277,6f295ec6,2021,Macak M.,Using process mining for Git log analysis of projects in a software development course,10.1007/s10639-021-10564-6,WS,scopus,IC1|IC4,5.0,True
278,ffa8885e,2021,,Експериментальні дослідження процесів налагодження комп'ютерних програм студентами з використанням Process Mining,10.35546/kntu2078-4481.2021.3.9,Aux1,snowball,IC1|IC4,7.0,True
279,0587b264,2022,"Salmani, Ali; Imani, Alireza; Bahrehvar, Majid; Duffett-Leger, Linda; Moshirpour, Mohammad",A Data-Centric Approach to Evaluate Requirements Engineering in Multidisciplinary Projects,10.1109/SMC53654.2022.9945270,WS,ieee,IC1|IC4,6.0,True
280,ae9983fa,2022,Bhadra S.,A Stochastic Petri net Model of Continuous Integration and Continuous Delivery,10.1109/ISSREW55968.2022.00050,WS,scopus,IC2|IC3,4.0,True
281,e4f9257c,2022,"Salmani, Ali; Imani, Alireza; Bahrehvar, Majid; Duffett-Leger, Linda; Moshirpour, Mohammad",An Intelligent Methodology to Enhance Requirements Engineering in Multidisciplinary Projects,10.1109/CCECE49351.2022.9918286,WS,ieee,IC1|IC3,5.0,True
282,eeee1fa8,2022,Taskesenlioglu S.,Identifying Possible Improvements of Software Development Life Cycle (SDLC) Process of a Bank by Using Process Mining,10.1142/S0218194022400010,WS,scopus,IC1,5.0,True
283,f52cb3e1,2022,"Urrea-Contreras, Silvia Jaqueline; Astorga-Vargas, María Angélica; Flores-Rios, Brenda L.; Ibarra-Esquer, Jorge E.; González-Navarro, Félix Fernando",Intervention of knowledge flows in software process mining projects,10.1109/ENC56672.2022.9882931,WS,ieee,IC1|IC4,4.0,True
284,b5ffb64d,2022,Reinhartz-Berger I.,Mining Fork-Including Software Development Traces,10.1007/978-3-031-07481-3_12,WS,scopus,IC1,6.0,True
285,68dbd881,2022,,Moscow Rules: A Quantitative Expose,10.1007/978-3-031-08169-9_2,Aux1,wos,IC2|IC3,5.0,True
286,7eebcd00,2022,"Urrea-Contreras, Silvia Jaqueline; Flores-Rios, Brenda L.; González-Navarro, Félix Fernando; Astorga-Vargas, María Angélica; Ibarra-Esquer, Jorge Eduardo; Pacheco, Iván A. García; Agüero, Carla L. Pacheco","Process Mining Model Integrated with Control Flow, Case, Organizational and Time Perspectives in a Software Development Project",10.1109/CONISOFT55708.2022.00022,WS,ieee,IC1,5.0,True
287,fde0a3b4,2022,,Process Mining Model Quality in Software Development Case Studies,10.30844/akwi_2022_9,Aux1,snowball,IC1,4.0,True
288,e941deda,2022,,Process Mining Model Quality in Software Development Case Studies: An Analysis,10.30844/akwi_2022_09,Aux1,snowball,IC1|IC4,4.0,True
289,fbe93e3d,2022,Vavpotič D.,Software Process Evaluation from User Perceptions and Log Data,10.1002/smr.2438,WS,scopus,IC1,6.0,True
290,ff916fb9,2022,De Almeida C.D.A.,"Studying the Impact of Continuous Delivery Adoption on Bug-Fixing Time
in Apache's Open-Source Projects",10.1145/3524842.3528049,Aux1,wos,IC3|IC4,4.0,True
291,88087b27,2022,Ardimento P.,Understanding Coding Behavior: An Incremental Process Mining Approach,10.3390/electronics11030389,WS,scopus,IC1,5.0,True
292,b8fc130d,2022,Nand Sharma P.,Unearthing open source decision-making processes: A case study of python enhancement proposals,10.1002/spe.3128,WS,scopus,IC1|IC4,6.0,True
293,4b34f7a5,2022,Caldeira J.,Unveiling process insights from refactoring practices,10.1016/j.csi.2021.103587,WS,scopus,IC1|IC3,7.0,True
294,548627c6,2023,,A Novel Technique to Assess Agile Systems for Stability,10.1007/978-3-031-33976-9_2,Aux2,,IC2|IC4,8.0,True
295,d65695c6,2023,Bhadra S.,A stochastic petri net model of continuous integration and continuous delivery,10.1109/RAMS51473.2023.10088212,WS,scopus,IC2|IC3,5.0,True
296,667f1705,2023,,ADPTriage: Approximate Dynamic Programming for Bug Triage,10.1109/tse.2023.3307243,Aux1,snowball,IC2|IC4,6.0,True
297,82ce5370,2023,"Nguyen, Minh Khoi; Tran, Hanh Nhi; Abualsaud, Razan; Ober, Ileana",An AI-Enhanced Process Mining Framework for Software Process Insights,10.1109/KSE59128.2023.10299475,WS,ieee,IC1|IC4,4.0,True
298,b68e0602,2023,,An Exploration of Learning Processes as Process Maps in FLOSS Repositories,10.48550/arxiv.2307.07841,Aux1,snowball,IC1|IC4,5.0,True
299,60f3005f,2023,Lopez-Pintado O.,Discovery and Simulation of Business Processes with Probabilistic Resource Availability Calendars,10.1109/ICPM60904.2023.10271965,WS,scopus,IC1|IC2,7.0,True
300,472e7acc,2023,,Enterprise Information Management Systems Development: Two Cases of Mining for Process Conformance,10.1016/j.jjimei.2022.100141,Aux2,,IC1,5.0,True
301,e45c53bb,2023,,Evaluating Learning-to-Rank Models for Prioritizing Code Review Requests using Process Simulation,10.1109/SANER56733.2023.00050,Aux1,ieee,IC2|IC3,8.0,True
302,21851bba,2023,Jo S.,Exploring Collaboration Patterns in GitHub Using Discrete Time Markov Chain,10.1109/APSEC60848.2023.00090,WS,scopus,IC2|IC4,5.0,True
303,56342950,2023,Ortu M.,Fault-insertion and fault-fixing behavioural patterns in Apache Software Foundation Projects,10.1016/j.infsof.2023.107187,WS,scopus,IC2|IC4,7.0,True
304,140e67e6,2023,,Macrosimulation Model of Software Development Process,10.1016/j.procs.2023.10.061,Aux1,snowball,IC2|IC3,6.0,True
305,5b7858a6,2023,Feres C.,Mapping Process Mining Techniques to Agile Software Development Perspectives,10.5220/0011850500003464,WS,scopus,IC1,3.0,False
306,bbfaa5a6,2023,Hlushko S.,Mathematical model of the software development process according to the 'outsource' scheme,10.1109/DESSERT61349.2023.10416494,WS,scopus,IC2,3.0,False
307,f512f749,2023,,"On Preparing and Assessing Data for Process Simulation Modeling: An
Industrial Report",10.1109/ICSSP59042.2023.00016,Aux1,wos,IC2|IC4,7.0,True
308,a88acaff,2023,,Process Mining Applied in a Software Project Development with SCRUM and ProM,10.24018/ejeng.2023.8.5.3089,Aux1,snowball,IC1|IC4,4.0,True
309,1b7688b7,2023,Coremans B.,Process Mining from Jira Issues at a Large Company,10.1109/ICSME58846.2023.00055,WS,scopus,IC1,5.0,True
310,fda7184e,2023,Calegari D.,Supporting software evolution actions with process mining,,WS,scopus,IC1,4.0,True
311,df1bee14,2023,,"The Why, When, What, and How About Predictive Continuous Integration: A Simulation-Based Investigation",10.1109/TSE.2023.3330510,Aux1,ieee,IC2|IC3,6.0,True
312,61cb2257,2023,Kolesnikova K.,Transforming Cognitive Maps into Markov Process Models for Software Development Projects,10.1109/SIST58284.2023.10223535,WS,scopus,IC2,3.0,False
313,12484962,2023,,Using Process Mining to Leverage the Development of a Family of Mobile Applications,10.15514/ispras-2023-35(3)-13,Aux2,,IC1,7.0,True
314,3430f3d0,2024,Salin H.,A Stochastic Approach Based on Rational Decision-Making for Analyzing Software Engineering Project Status,10.1007/978-3-031-49266-2_12,WS,scopus,IC2,4.0,True
315,373ad20e,2024,Urrea-Contreras S.J.,Applying Process Mining: The Reality of a Software Development SME,10.3390/app14041402,WS,scopus,IC1,7.0,True
316,9ffa3123,2024,Joshi R.,Comparative Study of Reinforcement Learning in GitHub Pull Request Outcome Predictions,10.1109/SANER60148.2024.00057,WS,scopus,IC2|IC3|IC4,7.0,True
317,7f6a881a,2024,Alman A.,Declarative Process Mining for Software Processes: The RuM Toolkit and the Declare4Py Python Library,10.1007/978-3-031-49269-3_2,WS,scopus,IC1,6.0,True
318,c7d555aa,2024,"Liu, Bohan; Zhang, He; Ma, Weigang; Kuang, Hongyu; Yang, Yi; Xu, Jinwei; Gao, Shan; Gao, Jian",Mining Pull Requests to Detect Process Anomalies in Open Source Software Development,10.1145/3597503.3639196,WS,ieee,IC1,7.0,True
319,63bfddbd,2024,Nguyen T.,Multi-Dimensional Process Analysis of Software Development Projects,10.5220/0012372100003645,WS,scopus,IC1|IC4,4.0,True
320,98edc5c2,2024,,"Prioritizing code review requests to improve review efficiency: a
simulation study",10.1007/s10664-024-10575-0,Aux1,wos,IC2|IC4,8.0,True
321,6ff2b7f2,2024,Jo S.,Probabilistic Model Checking GitHub Repositories for Software Project Analysis,10.3390/app14031260,WS,scopus,IC2|IC4,5.0,True
322,2349bd7b,2024,,"Process mining software engineering practices: A case study for
deployment pipelines",10.1016/j.infsof.2023.107392,Aux1,wos,IC1|IC4,8.0,True
323,20e0d51e,2025,,A benchmarking study on process model forecasting: univariate vs. multivariate approaches,10.1007/s44311-025-00031-7,Aux1,snowball,IC1|IC3,7.0,True
324,563af713,2025,,Analyzing the&#xa0;Evolution of&#xa0;Boards in&#xa0;Collaborative Work Management Tools,10.1007/978-3-031-82225-4_24,Aux2,,IC1|IC4,7.0,True
325,7434525f,2025,"Tasci, Oguzhan; Erdogan, Tugba Gurgen",Comparative Analysis of AI Software and Traditional Software GitHub Repositories Using Process Mining,10.15439/2025F3421,WS,ieee,IC1|IC4,4.0,True
326,d57e0f87,2025,,Comparative evaluation of encoding techniques for workflow process remaining time prediction for cloud applications,10.1186/s13677-025-00763-8,Aux2,,IC1|IC3,7.0,True
327,fa2cb37b,2025,Buliga A.,Enhanced What-If Scenarios Generation by Bridging Generative Models and Process Simulation,10.1109/ICPM66919.2025.11220730,WS,scopus,IC1|IC3,5.0,True
328,f2c6bd74,2025,,GHALogs: Large-Scale Dataset of GitHub Actions Runs,10.1109/MSR66628.2025.00104,Aux1,ieee,IC1|IC4,5.0,True
329,43e84ac4,2025,"Ait Mansour, Nassima; Sbai, Hanae; Baïna, Karim",MINDS: An NLP-Driven Process Mining Framework for Superior Microservices Decomposition,10.1109/ACCESS.2025.3639460,WS,ieee,IC1|IC4,7.0,True
330,bf72ff27,2025,Sang B.,Mining and Assessing Issue Resolution Processes in Open Source Software Repositories,10.1109/CSCWD64889.2025.11033176,WS,scopus,IC1|IC4,7.0,True
331,f4cf22c5,2025,,Multivariate Approaches for&#xa0;Process Model Forecasting,10.1007/978-3-031-82225-4_21,Aux2,,IC3,6.0,True
332,ed0ab009,2025,"Guinea-Cabrera, Miguel Ángel; Holgado-Terriza, Juan Antonio; Pico-Valencia, Pablo A.",PRIMAD: Building Digital Twins for Software Development Lifecycle within an Evolutionary Architecture,10.1109/SWC65939.2025.00261,WS,ieee,IC1|IC2|IC3,6.0,True
333,69029db6,2025,da Silva K.O.A.,Process mining for agile software process assessment and improvement,10.1016/j.infsof.2025.107680,WS,scopus,IC1,5.0,True
334,03b0c494,2025,Incerto E.,Stochastic conformance checking based on variable-length Markov chains,10.1016/j.is.2025.102561,WS,scopus,IC1|IC2,7.0,True
335,e3d6d00e,2025,"Paradis, Carlos; Perez, Ivan; Davies, Misty",Towards Streamlining Auditing for Compliance with Requirements in Open-Source Software at NASA,10.1109/DASC66011.2025.11257352,WS,ieee,IC1|IC4,8.0,True
336,03fb6812,2026,Bala S.,"Analyzing Side-Tracking of Developers Using Object-Centric Process
Mining",10.1007/978-3-031-96841-9_2,Aux1,wos,IC1|IC4,7.0,True
337,f7a54d4c,2026,Vitale F.,Architecting software monitors for control-flow anomaly detection through large language models and conformance checking,10.1016/j.infsof.2026.108133,WS,scopus,IC1,7.0,True
338,2c1f1193,2026,Stepanov E.,Continuous software monitoring backed by process mining: a systematic literature review,10.1007/s41060-025-01000-w,WS,scopus,IC1|IC4,4.0,True
339,e5c400af,2026,,Leveraging Data Augmentation and&#xa0;Siamese Learning for&#xa0;Predictive Process Monitoring,10.1007/978-3-032-15538-2_5,Aux2,,IC3|IC4,8.0,True
340,9ea592cd,2026,de Oliveira R.A.,“Bottleneck Analysis in Software Development: A Case Study Using Process Mining”,10.1007/978-3-032-03708-4_22,WS,scopus,IC1,4.0,True
