row_idx,internal_id,title,ft_decision_primary,ft_decision_verifier,verifier_model,raw
71,839b7aab,"Experiences in discovering, modeling, and reenacting open source
software development processes",include,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente, impedindo avaliação rigorosa dos critérios. O título sugere forte relevância (descoberta, modelagem e reenactment de processos de desenvolvimento de software open source), indicando possível atendimento a IC1 e IC4, mas é necessário o texto completo para confirmar."",
  ""matched_ic"": [""IC1"", ""IC4""],
  ""matched_ec"": [],
  ""evidence_tags"": [""process_mining"", ""software_process"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""software_development_process"",
  ""stochastic_method"": ""unclear"",
  ""forecas"
74,ad4f84a7,Simulation-based risk reduction for planning inspections,include,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente e o título 'Simulation-based risk reduction for planning inspections' sugere possível relevância marginal (simulação + planejamento de inspeções pode ter contexto de software), mas é insuficiente para confirmar qualquer IC sem risco de inferência indevida."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""simulation"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""simulation"",
  ""forecast_target"": ""unclear"",
  ""process_data_source"": ""unclear"",
  ""con"
75,03654165,Studying Task Processes for Improving Programmer Productivity,include,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente, impedindo avaliação definitiva dos critérios de inclusão/exclusão. O título sugere relevância marginal ao escopo (produtividade de programadores e processos de tarefas), o que justifica investigação adicional do texto completo."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""insufficient_abstract"", ""full_text_required"", ""software_process""],
  ""software_context"": ""software_development_process"",
  ""stochastic_method"": ""unclear"",
  ""forecast_target"": ""unclear"",
  ""process_data_source"": ""unclear"",
  ""confide"
73,1c2611b3,Linking software process modeling with Markov decision theory,include,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente, mas o título 'Linking software process modeling with Markov decision theory' sugere fortemente relevância para IC2 (modelagem estocástica com Markov em processos de SW), justificando revisão de texto completo antes de uma decisão definitiva."",
  ""matched_ic"": [""IC2""],
  ""matched_ec"": [],
  ""evidence_tags"": [""software_process"", ""markov"", ""stochastic_modeling"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""software_development_process"",
  ""stochastic_method"": ""markov_chain"",
  ""forecast_target"": "
77,c7ed395a,"A procedure to detect problems of processes in software development
projects using Bayesian networks",include,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente, impossibilitando confirmação dos critérios de inclusão/exclusão. O título sugere relevância potencial (IC2/IC3): uso de redes Bayesianas para detectar problemas em processos de desenvolvimento de software, o que pode envolver modelagem estocástica de processos de SW."",
  ""matched_ic"": [""IC2""],
  ""matched_ec"": [],
  ""evidence_tags"": [""bayesian_model"", ""software_process"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""software_development_process"",
  ""stochastic_method"": ""bayesian_model"",
  ""forec"
76,f2c6bd74,GHALogs: Large-Scale Dataset of GitHub Actions Runs,include,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente, impossibilitando confirmação de ICs; o título sugere um dataset de runs do GitHub Actions, potencialmente relevante para IC1 (process mining em CI/CD) ou IC4 (mineração de repositórios), justificando avaliação de texto completo."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""ci_cd"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""ci_cd"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""ci_cd_logs"",
  ""confidence"": ""low""
}
```"
79,537bbfd0,Process-Driven Incremental Effort Estimation,include,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente, impedindo avaliação definitiva dos critérios de inclusão/exclusão. O título sugere estimativa de esforço incremental guiada por processo, o que é potencialmente relevante para IC3 (forecasting de métricas de processo em SW) e possivelmente IC1/IC2, justificando 'pending' em vez de exclusão."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""forecasting"", ""software_process"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""software_development_process"",
  ""stochastic_method"": ""unclear"","
78,98edc5c2,"Prioritizing code review requests to improve review efficiency: a
simulation study",include,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente, impedindo avaliação rigorosa dos critérios. O título menciona 'code review requests', 'simulation study' e 'prioritization', o que sugere possível relevância para IC1 (process mining em artefatos de SW como PRs) ou IC3 (forecasting de métricas de processo como cycle time), além de 'simulation' que poderia mapear para IC2; contudo, sem o texto completo ou resumo verificável, não é possível confirmar com confiança."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""simulation"", ""pull_requests"", ""software_proc"
81,747fc068,"A project management approach to using simulation for cost estimation on
large, complex software development projects",include,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O resumo está ausente e o título sugere uso de simulação para estimativa de custos em projetos de desenvolvimento de software, o que pode ser relevante para IC2 (modelagem estocástica) ou IC3 (forecasting de métricas de processo), mas não é possível confirmar sem acesso ao texto completo."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""simulation"", ""software_process"", ""full_text_required"", ""insufficient_abstract""],
  ""software_context"": ""software_project_management"",
  ""stochastic_method"": ""simulation"",
  ""forecast_target"": ""oth"
80,6394fe12,"Predicting the Unpredictable: Using Monte Carlo Simulation to Predict
Project Completion Date",include,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente, impedindo avaliação definitiva. O título menciona Monte Carlo Simulation para prever datas de conclusão de projetos, o que pode se alinhar ao IC2/IC3 se aplicado a projetos de software, mas o domínio (software vs. outros) não pode ser confirmado sem o texto completo."",
  ""matched_ic"": [""IC3""],
  ""matched_ec"": [],
  ""evidence_tags"": [""monte_carlo"", ""forecasting"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""monte_carlo"",
  ""forecast_target"": ""completion_time"",
"
83,3c0dd1ad,"RVSim: A simulation approach to predict the impact of requirements
volatility on software project plans",include,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente, impossibilitando avaliação definitiva. O título sugere simulação para prever impacto de volatilidade de requisitos em planos de projetos de software, o que pode atender IC2 (modelagem estocástica/simulação em processos de SW) ou IC3 (forecasting de métricas de processo), tornando o paper potencialmente relevante."",
  ""matched_ic"": [""IC2"", ""IC3""],
  ""matched_ec"": [],
  ""evidence_tags"": [""simulation"", ""forecasting"", ""software_process"", ""software_project_management""],
  ""software_context"": ""software_development_process"",
"
84,66d00b19,Software process simulation modeling: Why? What? How?,include,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente, impossibilitando confirmação dos critérios de inclusão/exclusão. O título 'Software process simulation modeling' sugere relevância potencial para IC2 (modelagem estocástica em processos de SW) e IC3 (forecasting), mas não é possível confirmar sem o texto completo."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""software_process"", ""simulation"", ""full_text_required"", ""insufficient_abstract""],
  ""software_context"": ""software_development_process"",
  ""stochastic_method"": ""simulation"",
  ""forecast_target"": ""un"
82,f33d3c89,Software maintenance process analysis using discrete-event simulation,include,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente, impedindo avaliação definitiva. O título menciona explicitamente análise de processo de manutenção de software com discrete-event simulation, sugerindo possível relevância para IC2 (modelagem estocástica em processos de SW) e IC3 (forecasting de métricas de processo), justificando triagem pendente até obtenção do texto completo."",
  ""matched_ic"": [""IC2""],
  ""matched_ec"": [],
  ""evidence_tags"": [""simulation"", ""software_process"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""software_development_"
86,24e9c63d,Monte carlo simulation based estimations: Case from a global outsourcing company,include,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente, impossibilitando confirmação dos critérios de inclusão. O título menciona simulação Monte Carlo (potencialmente IC2/IC3) em uma empresa global de outsourcing, o que pode envolver processos de desenvolvimento de software, mas não é possível confirmar sem o texto completo."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""monte_carlo"", ""simulation"", ""full_text_required"", ""insufficient_abstract""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""monte_carlo"",
  ""forecast_target"": ""unclear"",
  ""process"
87,58996946,A comprehensive simulation study on optimal scheduling for software projects,include,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente, impossibilitando avaliação rigorosa dos critérios. O título menciona 'simulation study' e 'scheduling for software projects', sugerindo possível relevância para IC2 (modelagem estocástica/simulação em processos de SW) ou IC3 (forecasting de métricas de processo), mas não há conteúdo suficiente para confirmar inclusão com confiança."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""simulation"", ""software_process"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""software_project_manage"
88,3b614f91,"Simulation of software maintenance process, with and without a
work-in-process limit",include,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente, impossibilitando avaliação detalhada dos critérios. O título menciona 'simulação de processo de manutenção de software com/sem limite de trabalho em andamento', sugerindo relevância marginal para IC2 (modelagem estocástica em processos de SW) e IC3 (forecasting/simulação), mas sem confirmação de conteúdo."",
  ""matched_ic"": [""IC2""],
  ""matched_ec"": [],
  ""evidence_tags"": [""simulation"", ""software_process"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""software_development_process"",
  ""stochastic_"
85,57d2445c,"A Discrete Event Simulation Model to Evaluate Changes to a Software
Project Delivery Process",include,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente, mas o título menciona explicitamente 'Discrete Event Simulation' aplicado a um 'Software Project Delivery Process', sugerindo relevância para IC2 (modelagem estocástica em processos de SW) e possivelmente IC3 (forecasting de métricas de processo). Sem o texto completo ou resumo, não é possível confirmar com confiança."",
  ""matched_ic"": [""IC2"", ""IC3""],
  ""matched_ec"": [],
  ""evidence_tags"": [""simulation"", ""software_process"", ""full_text_required""],
  ""software_context"": ""software_development_process"",
  ""stochastic_metho"
90,f06ebc31,A model of the software development process using both continuous and discrete models,include,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O resumo está ausente e o título sugere relevância direta ao escopo (modelagem do processo de desenvolvimento de software com modelos contínuos e discretos), o que pode incluir abordagens estocásticas como cadeias de Markov ou Petri nets, atendendo potencialmente IC2. Sem o texto completo ou resumo, não é possível confirmar ou excluir com segurança."",
  ""matched_ic"": [""IC2""],
  ""matched_ec"": [],
  ""evidence_tags"": [""software_process"", ""simulation"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""software_development_proc"
91,39e47477,"Exploring bottlenecks in market-driven requirements management processes
with discrete event simulation",include,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente, impossibilitando confirmação dos critérios. O título sugere simulação de eventos discretos (IC2/EC1 possível) aplicada a processos de gerenciamento de requisitos de software (potencial IC2/IC3), o que é marginalmente relevante para o escopo PATHCAST."",
  ""matched_ic"": [""IC2""],
  ""matched_ec"": [],
  ""evidence_tags"": [""simulation"", ""software_process"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""requirements_engineering"",
  ""stochastic_method"": ""simulation"",
  ""forecast_target"": ""other_process_m"
92,1e2799d8,"An Exploratory Study on Usage of Process Mining in Agile Software
Development",include,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente, mas o título menciona explicitamente 'process mining' e 'agile software development', sugerindo relevância direta para IC1 (process mining em processos de SW). Texto completo é necessário para confirmar a aplicação."",
  ""matched_ic"": [""IC1""],
  ""matched_ec"": [],
  ""evidence_tags"": [""process_mining"", ""software_process"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""software_development_process"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""unclear"",
  ""co"
89,afd1b7aa,Software process simulation for reliability management,include,pending,claude-sonnet-4-6,"{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente e não pode ser verificado; o título sugere relevância potencial para IC2 (modelagem estocástica/simulação de processos de SW) e IC3 (forecasting de confiabilidade em SW), justificando pendência para consulta ao texto completo."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""simulation"", ""software_process"", ""reliability"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""software_development_process"",
  ""stochastic_method"": ""simulation"",
  ""forecast_target"": ""reliability"",
  ""process_data_sour"
94,0222b592,Mining Logs to Model the Use of a System,include,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente e o título 'Mining Logs to Model the Use of a System' sugere possível relevância (process mining de logs para modelagem de uso de sistema), mas não é possível determinar se o sistema em questão é de desenvolvimento de software ou outro domínio sem acesso ao texto completo."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""process_mining"", ""event_log"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""unclear"",
  ""forecast_target"": ""none"",
  ""process_dat"
93,8a7996cf,"Predicting bug-fixing time: A replication study using an open source
software project",include,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente, impedindo avaliação definitiva dos critérios. O título sugere predição de tempo de correção de bugs em software open source, o que é potencialmente relevante para IC3 (forecasting de métricas de processo como lead time/cycle time) e possivelmente IC4 (mineração de repositórios), justificando investigação de texto completo."",
  ""matched_ic"": [""IC3"", ""IC4""],
  ""matched_ec"": [],
  ""evidence_tags"": [""forecasting"", ""issue_tracking"", ""lead_time"", ""software_process"", ""insufficient_abstract"", ""full_text_required""],
  ""software"
95,76276f2e,"Modeling distributed software defect removal effectiveness in the
presence of code churn",include,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente, impossibilitando avaliação rigorosa dos critérios de inclusão/exclusão. O título sugere modelagem de efetividade de remoção de defeitos em software distribuído com code churn, o que pode ser relevante para IC2 (modelagem estocástica em processos de SW) ou IC3 (forecasting de métricas), mas não há evidência suficiente para confirmar ou excluir com confiança."",
  ""matched_ic"": [""IC2"", ""IC3""],
  ""matched_ec"": [],
  ""evidence_tags"": [""software_process"", ""defect_prediction"", ""insufficient_abstract"", ""full_text_required""],
 "
96,008caf63,Simulation of the defect removal process with queuing theory,include,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente, impedindo avaliação definitiva. O título menciona simulação do processo de remoção de defeitos com teoria de filas, o que pode ser relevante para IC2 (modelagem estocástica em processos de SW) e IC3 (forecasting de métricas de processo como taxa de defeitos), mas sem o texto completo não é possível confirmar se o domínio é software ou outro (EC1) e se é aplicação teórica sem avaliação em SW (EC3)."",
  ""matched_ic"": [""IC2"", ""IC3""],
  ""matched_ec"": [],
  ""evidence_tags"": [""stochastic_modeling"", ""simulation"", ""queueing_mo"
98,ffa8885e,Експериментальні дослідження процесів налагодження комп'ютерних програм студентами з використанням Process Mining,include,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O título em ucraniano sugere 'Pesquisa experimental sobre processos de depuração de programas de computador por estudantes usando Process Mining', o que pode ser relevante para IC1 (process mining aplicado a artefatos/processos de SW). Contudo, o abstract está ausente e não é possível determinar se o foco é no processo de desenvolvimento/depuração de software ou em contexto educacional sem aplicação a processos de SE, nem se há modelagem estocástica ou forecasting."",
  ""matched_ic"": [""IC1""],
  ""matched_ec"": [],
  ""evidence_tags"": [""process_min"
97,b940a63a,"Understanding Student Interactions in Capstone Courses to Improve
Learning Experiences",include,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O título sugere análise de interações de estudantes em cursos de capstone para melhorar experiências de aprendizado, o que é um contexto educacional e não de processos de desenvolvimento de software. Mesmo sem abstract disponível, não há evidência de que atende qualquer IC da SLR PATHCAST."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1"", ""EC2""],
  ""evidence_tags"": [],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""unclear"",
  ""confidence"": ""medium""
}
```"
100,5c24112d,Aligning Event Logs and Process Models for Multi-perspective Conformance Checking: An Approach Based on Integer Linear Programming,pending,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O resumo está ausente, impossibilitando confirmação do conteúdo. O título indica conformance checking com ILP sobre event logs e modelos de processo, o que sugere process mining (IC1), mas sem evidência de aplicação a software development processes; pode ser domínio genérico ou não-SW."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""process_mining"", ""event_log"", ""full_text_required"", ""insufficient_abstract""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""ev"
101,5114267c,OperA/ALIVE/OperettA,pending,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O título 'OperA/ALIVE/OperettA' refere-se a frameworks de coordenação/organização multiagente (OperA, ALIVE, OperettA), sem nenhuma indicação de aplicação a process mining, modelagem estocástica, forecasting ou processos de desenvolvimento de software. Nenhum IC é atendido."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1"", ""EC3""],
  ""evidence_tags"": [],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""none"",
  ""confidence"": ""low""
}
```"
102,0ab73e73,Large Process Models: A Vision for Business Process Management in the Age of Generative AI,pending,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O título indica um trabalho sobre Business Process Management com foco em modelos de linguagem de grande escala (LLMs/Generative AI), sem evidência de aplicação a processos de desenvolvimento de software. O domínio alvo parece ser BPM genérico ou empresarial, não processos de SW, atendendo ao EC2/EC1."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC1"", ""EC2""],
  ""evidence_tags"": [""process_mining""],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""none"",
  ""confidence"""
99,a86b1042,Profiling Software Developers with Process Mining and N-Gram Language Models,include,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O resumo está ausente, impossibilitando avaliação definitiva. O título sugere aplicação de process mining a desenvolvedores de software (potencialmente IC1 ou IC4), com N-gram language models possivelmente para profiling de padrões de atividade, o que indica relevância marginal mas não confirmada."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""process_mining"", ""software_process"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""software_development_process"",
  ""stochastic_method"": ""unclear"",
  ""forecast_ta"
104,cdb96853,Information and Data Quality States Model to Support Process-Aware Information Systems,pending,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O resumo está ausente e o título menciona 'Process-Aware Information Systems' e qualidade de dados/informação, o que poderia tangenciar process mining, mas não é possível confirmar nenhum IC com segurança sem acesso ao texto completo."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""unclear"",
  ""confidence"": ""low""
}
```"
103,f746161f,Integrating Dynamic Models for CMM-Based Software Process Improvement,pending,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente e o título sugere relevância marginal para a SLR PATHCAST, pois trata de melhoria de processos de software baseada em CMM com modelos dinâmicos, o que pode envolver modelagem estocástica (IC2) aplicada a processos de desenvolvimento de software. Sem o texto completo, não é possível confirmar ou refutar os critérios de inclusão com confiança."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""software_process"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""software_development_process"
106,0d35d127,Exploiting Event Log Event Attributes in RNN Based Prediction,pending,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente e o título sugere uso de RNN para predição sobre event logs, o que é potencialmente relevante para process mining e forecasting (IC1/IC3), mas sem confirmação do domínio de aplicação (software ou outro)."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""process_mining"", ""forecasting"", ""event_log"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""unclear"",
  ""process_data_source"": ""event_logs"",
  ""confidence"": ""low""
}
```"
107,20215571,Enhanced BiGAN for multi-task learning in business process prediction: next activity and timestamp prediction tasks,pending,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente, impossibilitando verificar o domínio de aplicação. O título menciona predição de próxima atividade e timestamp em processos de negócio com BiGAN, que pode ser relevante para IC3 (forecasting de métricas de processo) e IC1 (process mining), mas sem confirmação de aplicação a processos de desenvolvimento de software — o contexto 'business process' é frequentemente genérico ou de outros domínios (EC1)."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""process_mining"", ""forecasting"", ""event_log"", ""remaining_ti"
108,068e0a52,MailOfMine – Analyzing Mail Messages for Mining Artful Collaborative Processes,pending,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente, impossibilitando avaliação conclusiva. O título sugere mineração de mensagens de e-mail para descoberta de processos colaborativos, o que pode incluir processos de desenvolvimento de software (IC1/IC4), mas sem o texto completo não é possível confirmar o domínio ou método aplicado."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""process_mining"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  ""process_data_sour"
105,8fc8cf4c,Evaluation of Software Process Improvement in Small Organizations,pending,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente, impossibilitando avaliação dos critérios de inclusão/exclusão. O título menciona 'Software Process Improvement' em 'Small Organizations', o que sugere relevância marginal para o escopo (processos de SW), mas sem conteúdo verificável não é possível confirmar a presença de process mining, modelagem estocástica ou forecasting."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""insufficient_abstract"", ""full_text_required"", ""software_process""],
  ""software_context"": ""software_development_process"",
  ""stochastic_"
110,bd3a9e7b,<span>Visual ppinot</span>: A Graphical Notation for Process Performance Indicators,pending,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente e o título sugere uma notação gráfica para indicadores de performance de processos (PPIs), o que pode ter relevância marginal para IC3 (forecasting de métricas de processo) ou IC1 (process mining em SW), mas não é possível confirmar sem o texto completo."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""other_process_metric"",
  ""process_data_source"": ""unclear"",
  ""confidence"":"
111,8cfbe718,History-Aware Dynamic Process Fragmentation for Risk-Aware Resource Allocation,pending,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente, impossibilitando avaliação direta dos critérios. O título menciona 'process fragmentation' e 'risk-aware resource allocation' com foco histórico, o que pode indicar process mining com modelagem preditiva, mas o contexto de software não é confirmável sem o texto completo."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""process_mining"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""unclear"",
  ""forecast_target"": ""unclear"",
  ""process_data_source"": "
109,e5c400af,Leveraging Data Augmentation and&#xa0;Siamese Learning for&#xa0;Predictive Process Monitoring,pending,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente, impossibilitando avaliação definitiva. O título menciona 'Predictive Process Monitoring' e 'data augmentation', que são tópicos relacionados a process mining e forecasting, mas não é possível confirmar se o domínio de aplicação envolve processos de desenvolvimento de software ou outro domínio (saúde, manufatura, etc.)."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""process_mining"", ""forecasting"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""unc"
112,4af3b0a1,Conformance checking in UML artifact-centric business process models,pending,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente, impedindo avaliação conclusiva. O título menciona 'conformance checking' (técnica de process mining) aplicada a 'UML artifact-centric business process models', o que pode ou não estar relacionado a processos de desenvolvimento de software — sem o texto completo não é possível determinar se o domínio é SW (IC1) ou outro (EC1)."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""process_mining"", ""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""none"",
  ""f"
114,1b8877fe,Rule Determination and Process Verification Using Business Capabilities,pending,pending,claude-sonnet-4-6,"```json
{
  ""decision"": ""pending"",
  ""rationale"": ""O abstract está ausente e o título sugere foco em business capabilities e verificação de processos de negócio, o que pode ter alguma sobreposição com process mining ou modelagem de processos, mas não há evidência suficiente para confirmar relevância para o escopo PATHCAST."",
  ""matched_ic"": [],
  ""matched_ec"": [],
  ""evidence_tags"": [""insufficient_abstract"", ""full_text_required""],
  ""software_context"": ""unclear"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""unclear"",
  ""confidence"": ""low""
}
```"
113,50e114d9,"Business Process Management Demystified: A Tutorial on Models, Systems and Standards for Workflow Management",pending,exclude,claude-sonnet-4-6,"```json
{
  ""decision"": ""exclude"",
  ""rationale"": ""O título indica um tutorial sobre BPM/workflow management em geral (2004), sem evidência de aplicação a processos de desenvolvimento de software, process mining ou modelagem estocástica em SE. O resumo está ausente, mas o título aponta para EC2 (software/workflow como ferramenta ou domínio genérico) sem nenhum IC aplicável."",
  ""matched_ic"": [],
  ""matched_ec"": [""EC4""],
  ""evidence_tags"": [],
  ""software_context"": ""not_software_process"",
  ""stochastic_method"": ""none"",
  ""forecast_target"": ""none"",
  ""process_data_source"": ""none"",
  ""confidence"""
